Crops,EC 0-15,Temperature,Fertility,Saturation ,Soil Type
WHEAT- 22,3.01,0.98,150,40,LOAM
WHEAT- 22,3.21,0.78,210,36,LOAM
WHEAT- 22,3.5,0.93,160,38,LOAM
WHEAT- 22,2.84,0.52,170,40,LOAM
WHEAT- 22,2.87,0.62,180,40,LOAM
WHEAT- 22,3.13,1.03,180,38,LOAM
WHEAT- 22,3.12,0.62,170,36,LOAM
WHEAT- 22,3.19,0.78,160,38,LOAM
WHEAT- 22,3.19,0.78,160,38,LOAM
WHEAT- 22,3.21,0.72,160,36,LOAM
WHEAT- 22,2.66,0.67,150,40,LOAM
WHEAT- 22,3.93,0.52,170,36,LOAM
WHEAT- 22,3.09,0.78,160,34,LOAM
WHEAT- 22,3.27,1.14,200,36,LOAM
WHEAT- 22,3.35,0.83,150,34,LOAM
WHEAT- 22,2.63,0.72,160,36,LOAM
WHEAT- 22,2.85,0.72,160,36,LOAM
WHEAT- 22,2.55,0.78,150,38,LOAM
WHEAT- 22,3.32,0.67,160,34,LOAM
WHEAT- 22,3.35,0.67,140,36,LOAM
WHEAT- 22,3.24,0.62,130,38,LOAM
WHEAT- 22,3.57,0.83,180,34,LOAM
WHEAT- 22,3.91,0.72,160,36,LOAM
WHEAT- 22,3.26,0.67,140,38,LOAM
WHEAT- 22,3.47,0.93,180,38,LOAM
COTTON - 22,1.95,0.93,180,40,LOAM
ARIND - 19,2.04,0.98,300,28,LOAM
SESAMUM - 8,2.13,1.03,270,28,LOAM
MAEZ - 14,2.16,0.61,190,34,LOAM
RICE,2.21,0.72,140,38,LOAM
RICE,2.18,0.67,150,34,LOAM
COTTON-4,2.12,0.67,140,36,LOAM
RICE-25,2.38,0.78,130,36,LOAM
SESAMUM - 8,1.98,0.78,300,34,LOAM
SESAMUM - 8,1.78,0.83,250,36,LOAM
SESAMUM - 8,1.92,0.78,160,34,LOAM
SESAMUM - 8,1.78,0.72,140,38,LOAM
ARIND - 19,1.43,0.62,140,36,LOAM
ARIND - 19,1.12,0.57,120,38,LOAM
ARIND - 19,1.13,0.52,140,36,LOAM
PEPPER - 4,2.1,0.78,180,38,LOAM
PEPPER - 4,2.07,0.88,180,36,LOAM
PEPPER - 4,2.01,0.83,160,34,LOAM
PEPPER - 4,2.11,0.93,210,36,LOAM
PEPPER - 4,2.12,0.88,230,36,LOAM
PEPPER - 4,2.07,0.98,190,34,LOAM
PEPPER - 4,2.07,0.93,180,32,LOAM
PEPPER - 4,2.21,0.83,170,32,LOAM
PEPPER - 4,2.27,0.83,210,34,LOAM
PEPPER - 4,2.18,0.93,170,34,LOAM
PEPPER - 4,2.43,0.78,150,36,LOAM
PEPPER - 4,2.18,0.88,150,34,LOAM
PEPPER - 4,2.2,0.78,180,36,LOAM
PEPPER - 4,2.13,0.78,140,36,LOAM
PEPPER - 4,2.16,0.83,130,38,LOAM
PEPPER - 4,2.13,0.78,190,36,LOAM
PEPPER - 4,2.1,0.88,170,38,LOAM
PEPPER - 4,2.11,0.72,180,38,LOAM
PEPPER - 4,2.09,0.88,140,36,LOAM
PEPPER - 4,2.21,0.98,150,34,LOAM
PEPPER - 4,2.18,0.78,150,36,LOAM
PEPPER - 4,2.27,0.88,160,34,LOAM
PEPPER - 4,2.31,0.83,180,36,LOAM
PEPPER - 4,2.19,0.93,200,34,LOAM
PEPPER - 4,2.26,0.98,210,32,LOAM
PEPPER - 4,2.19,0.83,170,36,LOAM
PEPPER - 4,2.18,0.93,190,34,LOAM
PEPPER - 4,2.29,0.88,170,38,LOAM
PEPPER - 4,2.22,0.78,190,36,LOAM
PEPPER - 4,2.19,0.88,200,34,LOAM
PEPPER - 4,2.23,0.93,170,36,LOAM
PEPPER - 4,2.29,0.78,210,34,LOAM
PEPPER - 4,2.31,0.83,230,36,LOAM
